3fiveone => 31  - 31
9rtxjbffmsbsqdrnjjdkb => 99  - 5465
twofour8 => 28  - 5493
1sixfourone => 11  - 5504
nine1xzpqkfhmzkbqtzh => 91  - 5595
bbh9fqrbt94onebdppqmtjlq => 91  - 5686
one8nnngz5 => 15  - 5701
vchszvlzpljt1pdv6tqsk6four => 14  - 5715
sevensix9qmjkrglh => 79  - 5794
5threenine7fkrtbcsevenjlxrkltp1 => 51  - 5845
ggrsfivetwothree687two => 52  - 5897
jbtdsixthreexxvjbft5 => 65  - 5962
1four2eightseven8one3eightwogrr => 12  - 5974
six6vtltzh65 => 65  - 6039
7bbxlhgdbrh9sph44sbboneoneightxcn => 78  - 6117
lptqrf9twofzbmbbkkmt => 92  - 6209
1zhxmsevenlnsxmdcpz5one => 11  - 6220
63one => 61  - 6281
one3ninepcnphxdzvhvmcv846 => 16  - 6297
nkn6eight21one => 61  - 6358
s1cnkm => 11  - 6369
sixone3 => 63  - 6432
sixbvvmreightonethreesixthree3five => 65  - 6497
bvbeight5sevensixchfrkjz => 86  - 6583
hkfkczqffjmndzseven7fiverklvhv9 => 79  - 6662
rsfccvtl9seven => 97  - 6759
fourczfive5threefive5qj3 => 43  - 6802
9fivexskp3 => 93  - 6895
tsrdgzcvftbvllhvcvzzthreetzzspvvjkrfgn9 => 39  - 6934
bv8twotwo9nh => 89  - 7023
lbksl3cpgzlxjgnrpqslbsknglctwothree => 33  - 7056
nine9eightqhcdzfcp2 => 92  - 7148
vckdtskc79threemblqcs3sixndlxfpq8 => 78  - 7226
1ggkrvbpsl9ssix6one8zh => 18  - 7244
679one9nzsktvfseighteightwotjm => 62  - 7306
threefive7gfzptnxbvvlzlxbteightglseightworsq => 32  - 7338
843trvvsxdkfspsixonethreeone => 81  - 7419
hsrqmrfvvzkczhphc8147xrrnzldnvr => 87  - 7506
m6six => 66  - 7572
oneccnxglxone29 => 19  - 7591
37jvhjvvlbv223mmnrthreesl => 33  - 7624
bpeight1 => 81  - 7705
twocd8 => 28  - 7733
4sevensix8twotwohhmzr2 => 42  - 7775
djpbjhrcfour5vbpkmsgnjckrkvt7 => 47  - 7822
sixnfrlbv8sixrqgmt4qmftxnrmx5 => 65  - 7887
sevenzvhhfourchckzrljhfivevjbxxh91six => 76  - 7963
eightckclzxbkqmkncvfdxfx84zeight1 => 81  - 8044
9stftdhkbs4 => 94  - 8138
qrpbdqzsjfj3seven21zktlblk => 31  - 8169
seven87 => 77  - 8246
lpms5 => 55  - 8301
pdgpscn74s4onelh8 => 78  - 8379
7ljbdfour1tnfive81 => 71  - 8450
3rjlmtdvbr => 33  - 8483
lnvjkkgjc5 => 55  - 8538
7vxlqgxk5lkfdnsdh3 => 73  - 8611
jlpgttbf35fourthreenine3cdfxbsdgslczvpjssm => 33  - 8644
eighttwoplpbcbkltwobvzccbhxndndmgxdf5 => 85  - 8729
eightoneeight4 => 84  - 8813
rkfx585 => 55  - 8868
9fourfour => 94  - 8962
7pxcnjslqgp98sixpkhvqjhjqgeightone => 71  - 9033
fiveeight1fivehvqrnzxqlkrcmd => 55  - 9088
sevenvgzkmhst8ninegcgzxkxr4dpdjsmone8 => 78  - 9166
fourgjfncfeightlptffqjhrltngg6 => 46  - 9212
sevenqkjdtxptzbtwo8seven8 => 78  - 9290
757ltrfkjzeight57 => 77  - 9367
1twofoursix2xcqkf => 12  - 9379
7ninetjngrkq7npldprkd => 77  - 9456
kqcgtnxvjv9 => 99  - 9555
nsvqdsqzthreeqtzzhpd6xcggbnkxfone5 => 35  - 9590
eightzkmbhtmpxxjlfqqvmvmbvgmbtpcbpz1 => 81  - 9671
six1tpvs2sixnctjmdlc => 66  - 9737
695one92sevenggrsc => 67  - 9804
stpr38onedftngldtx8lrsgfljrc => 38  - 9842
1vbzxfive4fivetwotwo7 => 17  - 9859
kdsjx2 => 22  - 9881
dntkrpshcmqpgskcgsgvq9 => 99  - 9980
6pskhmkpfive1nmkcvonemdfpqdtvdl => 61  - 10041
fvfndcnine7khthreehljzshdbkblgm => 93  - 10134
eight49rcbnkmdthreegqlgvksvxksqf7 => 87  - 10221
22xsix => 26  - 10247
twosevenfive72bccn8rbzkfczgssqcg => 28  - 10275
two9hclkszjmxonetlgjfive1 => 21  - 10296
dgpm6nhzkkqng => 66  - 10362
qrnkpxnn3lltxqxxjzxdkxhlkceight3eightthree => 33  - 10395
two5two4one61 => 21  - 10416
59ninesix => 56  - 10472
3nineninesevenfour => 34  - 10506
9cvsx1jzrxhrxshldtbbn9 => 99  - 10605
65four => 64  - 10669
three738 => 38  - 10707
cvj2sevenxrsdqhp => 27  - 10734
p255hztrqj92sevenjlpzm => 27  - 10761
qjsdgdjrxdsjdfx7one => 71  - 10832
6fivexm1qhxbgcvkvxb => 61  - 10893
fourxdnpqmjs3bqnzzphp1 => 41  - 10934
7nmrndvq7jnxnlsseven9twonelxb => 71  - 11005
four1sjnh5zkrrlxxj => 45  - 11050
hphshrj3cztfgm23two => 32  - 11082
1zgvfourninefivetwocllkr => 12  - 11094
1mgqmktstwo => 12  - 11106
5ndrsix5tdmfcjbgvff => 55  - 11161
4onefive9918eight => 48  - 11209
sevendbtcttvmcnljp3threethree1vmsggrpx => 71  - 11280
four5llnsvvcrcgd7sevenldffd => 47  - 11327
nine2five9fivemfour => 94  - 11421
2cpbhssgzfsrhjtq2onefmpdqfivehxvbzpfmg => 25  - 11446
spglsevenrtbrkpnrq6 => 76  - 11522
bbfqkt5nkfrzl99gxdlzzsb => 59  - 11581
6csshxkzkshsxnnineeighttwoclslvdkjkc => 62  - 11643
five9pcb2nine4two4b => 54  - 11697
brzrd5threendzpvs7ldkjxmpqqr => 57  - 11754
one4vdtwo => 12  - 11766
fourseven5493dvldshvz => 43  - 11809
1gkmnj => 11  - 11820
ninethree8 => 98  - 11918
vshbcvtvvf4eightonesix => 46  - 11964
7nine485eightrmxbrd => 78  - 12042
dctwofour3 => 23  - 12065
18ftwo => 12  - 12077
twotwo8rzdbgeightthree => 23  - 12100
sevenztlzzn38nine3jtnqjsnine6 => 76  - 12176
14qrvcspxmr4 => 14  - 12190
783sixxkkhrpqjrt5ninesjflktt1 => 71  - 12261
73five3 => 73  - 12334
nrtwonetlmkldqrcjqrdn6gptzdclninethreenine => 29  - 12363
8sixxqfl => 86  - 12449
sndlpvjr3 => 33  - 12482
hx5zzlqk1571three => 53  - 12535
zvl1 => 11  - 12546
1twotnqcmfqrnr33rrhghsdqddpmbzd => 13  - 12559
nine1threevcninetwosix7m => 97  - 12656
six2onesix1xqjzczdrl3 => 63  - 12719
15jkhgkfzseven26 => 16  - 12735
fntvfkhfzsfour7onesevenfour => 44  - 12779
sixone653 => 63  - 12842
hnvftxjthnmfive1sevendfnpkpffgj => 57  - 12899
rdktwone9fourkklk9rsseven => 27  - 12926
2fivefive4eight => 28  - 12954
vmfour34lpjzbr517nqkthkljv => 47  - 13001
hk9rqtwozr189 => 99  - 13100
fivefive3 => 53  - 13153
5one6four9twohsnjkcp3 => 53  - 13206
one77twoeighteightfive6twonek => 11  - 13217
vrxbxdgmtwo8tmglzjx => 28  - 13245
lp4ckhf => 44  - 13289
srh2 => 22  - 13311
hsbkzggsfgeight5qhblzgsppxbdlpvhvcpgkndzkjtmpggpdx => 85  - 13396
sixzvhnnzffnsevenfourpkxnvc7one => 61  - 13457
fourvgv19g6xhphkdt => 46  - 13503
fgvl8nine42 => 82  - 13585
four97five4lfcmzchtbmtvtvbr => 44  - 13629
3onesevenqtwo21jjpgtwo => 32  - 13661
four44fournine1 => 41  - 13702
twozhhvcxck6 => 26  - 13728
skpvglmddmxlsrt3961nine => 39  - 13767
8twoonetwofourtwokxrplnrvhmthree => 83  - 13850
7ktxhsjdml6twofive => 75  - 13925
zfdtjbrfive669bscgkpeightseven => 57  - 13982
zmghddqkseight5two63three45 => 85  - 14067
x4one => 41  - 14108
5one1pcv9kkninenine7 => 57  - 14165
b678two => 62  - 14227
x7 => 77  - 14304
97foursevenbhrxdpkv1 => 91  - 14395
rjkfdbteight8fivejrspls231 => 81  - 14476
six2skbfzvnlbvfour61seven8 => 68  - 14544
2mcqpccjfs5 => 25  - 14569
8tm => 88  - 14657
kr9pmdxkzjsg69fnkrrphlxqpsqjhzbznine => 99  - 14756
eightcqmdq8twozbbzfkxlhsmmv7 => 87  - 14843
xvgflfourkhn3ninebx9fivedzsmsnf => 45  - 14888
crrsnkfmvtwosmjk7 => 27  - 14915
8four8796 => 86  - 15001
nxqhdsczcgnvq5 => 55  - 15056
8five5two9three4 => 84  - 15140
6clffour2eight3zgzjnnmfsix => 66  - 15206
1drp4six2rtszhttwotwo => 12  - 15218
zkmlfive7 => 57  - 15275
245eightnine9142 => 22  - 15297
sixfive1 => 61  - 15358
xvnbjvfivezhzfpvnsthree5bvvfive5cxjfkszprp => 55  - 15413
3bbvmq => 33  - 15446
13 => 13  - 15459
946five => 95  - 15554
5twooneeightbhxfhpvjmlgtkccqgmqjnq => 58  - 15612
mlq7 => 77  - 15689
122fivetv4 => 14  - 15703
fiveseven833pszfqhbt => 53  - 15756
229oneninenine414 => 24  - 15780
knmvqkkh1cjbbjnjzrtpxdjznn9six => 16  - 15796
78nslms => 78  - 15874
vqrdsmtjtgfourninethreefivextgtwo5t => 45  - 15919
slnrndksnb95three8vrskzqzfthree6 => 96  - 16015
4twofhhqdghjssjkkcjlbjthree => 43  - 16058
2xsnjsfngdqpzfmltkrsk1hvhktwo52 => 22  - 16080
sevenxxmxmmngqmdx2lbthree => 73  - 16153
five823nine => 59  - 16212
dszvsjnzn7 => 77  - 16289
tmvlsfive5prd => 55  - 16344
six3nine => 69  - 16413
onerzskmfthree3sctlkhcqrdzc97 => 17  - 16430
eight34kfour2cdgnnkdff => 82  - 16512
dmone3three5hjndcbbonethree => 13  - 16525
63five5513pdgczone => 61  - 16586
6fivechs4vk => 64  - 16650
3zlqsxzqdnpseight5 => 35  - 16685
five6eight13eight => 58  - 16743
zjknbtptmdzfour3one2seventhree => 43  - 16786
sxshgxbcxs64dmtzplkqnfffkpz => 64  - 16850
rml4b65htpzcrlrbn39 => 49  - 16899
8tlpnvnrhjb57 => 87  - 16986
fivetwo1five => 55  - 17041
9nrrms247qcffourone => 91  - 17132
n6two2sevenvtfsxhsn => 67  - 17199
dxjtpsfjcssix2ninefour => 64  - 17263
qfldkljtbqc4five72fourjqbkbrh => 44  - 17307
3nine1 => 31  - 17338
jflrjzjzfour3four8threefouroneeight => 48  - 17386
fivefivesevenseveneight771lhpzhb => 51  - 17437
nrszb3eight1tbzmmps79 => 39  - 17476
8kkskdtwoeight78eightvbmv => 88  - 17564
4bccrqxmrvd1three => 43  - 17607
nine93fourjhspbgnthree364 => 94  - 17701
11q => 11  - 17712
three7fourthreeftbxtmmm => 33  - 17745
mznine6six1 => 91  - 17836
sevendzpcbqjfdk83twobgqfourmkzfzflnn1 => 71  - 17907
twocvbtssm72 => 22  - 17929
keightwo12 => 82  - 18011
fourzxcbncddhthreeqsccqgsf4crzszqdd3nvvjsix => 46  - 18057
jmh3ggvdp => 33  - 18090
12fiveninefoureight => 18  - 18108
3tvlmfpkgrdthree2phmllhczeightj9qq => 39  - 18147
sevendndrnfpfzmgvfqnkp8pcjlttzfour7 => 77  - 18224
dvtbsjreight1fkdlffive55bxzpsrnxtbfour => 84  - 18308
7threeseven => 77  - 18385
qrhzdlsb4five => 45  - 18430
bvdvjfqvtrtqntrrnqfpf87njtjgxzkgbcnine => 89  - 18519
z927 => 97  - 18616
one2eight => 18  - 18634
7dpszhz3pfnrrtrkxjn => 73  - 18707
8mfkvn => 88  - 18795
258lkpqdc3five733 => 23  - 18818
1nine1threefour => 14  - 18832
nnbfzxdmm828cdgvfive => 85  - 18917
threetwothreethreetjzskgfive4 => 34  - 18951
six893sevennine82 => 62  - 19013
3ss48phseventwo24 => 34  - 19047
xgbpshxnkvcppnninepjcztcsevenqbnjcjftpxxkpqp66 => 96  - 19143
8mlkbpdpftwonine4 => 84  - 19227
5three6six1seven => 57  - 19284
91onelrttnjrcqjtnrfivec => 95  - 19379
322one => 31  - 19410
sevenmfpxvntvkpqvpbnnbpr5seven18sixeighteightwok => 72  - 19482
jnthkgsrone6vnkdvkjznjnboneoneseven7 => 17  - 19499
five81472 => 52  - 19551
2onefive => 25  - 19576
nine9oneqfb7 => 97  - 19673
tcf2two2145eightsix => 26  - 19699
vdjhlrksdhcone17three9qoneightr => 18  - 19717
fiveone82228bgrr => 58  - 19775
5rfxlfbbjqninethreefour => 54  - 19829
eight641 => 81  - 19910
2pjmlgrrzvv => 22  - 19932
kpqsxmvhp4twohnlsone3eighttwones => 41  - 19973
35sixd9eighthm89 => 39  - 20012
8four5onethreeqmdmttvchslfvnqrbftthree => 83  - 20095
fivemmbfjmq1jlvzsix1hgkbr7bxcsc => 57  - 20152
eightgmjxseven5fivefiveslbfsqrjrnbhqzgr => 85  - 20237
xr18oneqjgsnjfzcsix4 => 14  - 20251
9threefivekclcmrnsix654 => 94  - 20345
onelnh6sqvzxeight9 => 19  - 20364
6vjjpmmxxknineone79 => 69  - 20433
cdsfmz97twoninetqhhtsljsixseven => 97  - 20530
8five6 => 86  - 20616
ninepkp3 => 93  - 20709
eightfour4fqtrlnzt => 84  - 20793
one4pttsvonexsj4 => 14  - 20807
fczlpseven261 => 71  - 20878
9six6nine5nb4fouroneightv => 98  - 20976
2snzvzxkbbpcvd => 22  - 20998
mvnqjkcmkhrvnsxt3hjkj2ninethreezzbbrsdone => 31  - 21029
zktwonemhqnxssxftwotsd1nhfmrxpffoureight7 => 27  - 21056
qfhlmpxhxpthreennlk7chk7zzmlqxmtlk6 => 36  - 21092
7dxhzpmtwog9 => 79  - 21171
kfkmpmzxhn6four87rcthd => 67  - 21238
bvplp656vtxxlqvmm6187 => 67  - 21305
811beight => 88  - 21393
39586547 => 37  - 21430
18twok => 12  - 21442
pfxsfxsvkjrb9 => 99  - 21541
38z9trcxdbfivedmhtdrfive => 35  - 21576
19bhddbmbkbg77 => 17  - 21593
four522 => 42  - 21635
7vshvtblzonefbfcfgsfive2 => 72  - 21707
mgtwoneonecthreefoureight37eightjqlxf => 28  - 21735
eightnine67gthszx9tzxczcpone1 => 81  - 21816
fourfourthree2fivejrfgkb6seventwo => 42  - 21858
4dnreightrv6ql3 => 43  - 21901
csfgqxjdvm22jjnr9 => 29  - 21930
42szlhdvbdstllzldtcblgtfive7gnctbrmvmn6 => 46  - 21976
ztwoneeightfourzzsck7seventwo => 22  - 21998
two78 => 28  - 22026
1hxqtdxjqflthreesrzzdbxmfnvk89three => 13  - 22039
rnprnnpbjq7fivetwoneqsh => 71  - 22110
hkpjjpbl3nineone6pcszznjft8d => 38  - 22148
gcbtzdtkhnbbjnftwo2four7nineseven => 27  - 22175
3foureightonesixrfqrjlp => 36  - 22211
qvftcskmxdvnsrzqfourfivethreenine99slncxvjrcn => 49  - 22260
six5sshpxtr88 => 68  - 22328
7twofour => 74  - 22402
four143 => 43  - 22445
vrxxmzfp8 => 88  - 22533
four9tg8bfonesix59 => 49  - 22582
three3onezsqdtkrceighthnstg6three => 33  - 22615
7seventwonine => 79  - 22694
fivetwofour9nine1two => 52  - 22746
twozfdvkjzbtwo6xrjgmfgsxv => 26  - 22772
1dqfcfjcbxxgxrksixnine4 => 14  - 22786
rfpgseven5ninezdmbx5 => 75  - 22861
622 => 62  - 22923
nine19fivetvm => 95  - 23018
eightthreelpj58qjlnhr => 88  - 23106
9fourjtczvxfourfivebmzds415 => 95  - 23201
3fivejbgzdsx => 35  - 23236
fcqdbxgjf86twofour => 84  - 23320
nine6oneone => 91  - 23411
onefour1 => 11  - 23422
onestc6eight3oneseventhreeone => 11  - 23433
seven2six => 76  - 23509
plbgd5nmppgfpbtphsxldrllpmnprm => 55  - 23564
1three14eightbvnzx83 => 13  - 23577
four95kkpjsttjf8one => 41  - 23618
mrkrgj5xtqvvzpmxn8nine => 59  - 23677
nineskg78nbrnonelsxfxkxlrc => 91  - 23768
qxnvkcx1one => 11  - 23779
9ztbs2grvsixsqt94 => 94  - 23873
sevenjhtd7 => 77  - 23950
qjb78nine29 => 79  - 24029
3oneonegjtcppfrjs633 => 33  - 24062
3clhz => 33  - 24095
1v398nine => 19  - 24114
mqlsevenlcnblh94 => 74  - 24188
5fiveseven => 57  - 24245
73rbhnnsixsix7ntssps9v => 79  - 24324
svjsgvdsrspmsxzkczseven11nine4 => 74  - 24398
onefjncqnsbsvqqm4478 => 18  - 24416
mfzfzjhc1zgbtt => 11  - 24427
six1sevenseventwokvbtwogvpstm => 62  - 24489
one56nine => 19  - 24508
8sxhbpfrxfsixl9lthreehr9 => 89  - 24597
44nine4threethreedbbp => 43  - 24640
seventhreedp66gnxvfnpzvdpqflnx2 => 72  - 24712
twotwofour37cmfzvxqjp5seven => 27  - 24739
1twonexlr => 11  - 24750
sixtwosix6seven7g => 67  - 24817
63zscqhtonebtcjfdjqc => 61  - 24878
fiveklbblk4eighttwonefdf => 51  - 24929
seven7one => 71  - 25000
zz361tmxqdpmgseven6 => 36  - 25036
5onethree6cgkfkdcmnine2blhxzqxjqk5 => 55  - 25091
threefour43dp => 33  - 25124
hcmjsszeightthree4tsnppskn78ggl => 88  - 25212
7gzqsthtmvszmjvcgseven => 77  - 25289
onethree6sevenonetcxsseven => 17  - 25306
3twobzbxc9onelxfkvgsnhteight => 38  - 25344
hnljcxrhxhjkhmhtffjrcqmeight7kcjmhjlvmgq4 => 84  - 25428
5nineseven6lkxzlbf => 56  - 25484
49jxmvnql8crs => 48  - 25532
qgq6eighttwo5one => 61  - 25593
1xclqfour8bgqsjknine => 19  - 25612
mrheightwogfglthreeeight6threeeighttwodfkjgp => 82  - 25694
26three6nfrxkhqlq93seven => 27  - 25721
3two4gjzmvvnrhdthreekrqhbfgssjghksix => 36  - 25757
sixone6sixfour7four => 64  - 25821
zbsvkkmhmcone677hmjsevenrqmng => 17  - 25838
mqzjpd5foursevengxmsbjhl => 57  - 25895
lmrpmthreelthree19tvbnbfqggnftwo => 32  - 25927
x3 => 33  - 25960
6zrhpdnxqpbfourltbvhlglvseven => 67  - 26027
3onesixeightsevenqjjclpcndtzgnzcv9 => 39  - 26066
fiveeightrm6 => 56  - 26122
cfqonesevenszbvlkdpfourninetwo6five => 15  - 26137
9lhlsbntzfourhvxfxgfjfivezcvqfshmldcmmhb => 95  - 26232
oneseven28pjmqkd => 18  - 26250
one5three284fhrbztwoseven => 17  - 26267
jmhj2rnf983bbzsmts2xf => 22  - 26289
one981eightr4 => 14  - 26303
tmtwo2zrjdd9five => 25  - 26328
4eightsixsix => 46  - 26374
q3rszpbkftqv => 33  - 26407
6zndd7 => 67  - 26474
7sixflqjpcgrh4281 => 71  - 26545
89ninehbfklckdglmcgvm2 => 82  - 26627
712gsfgtdvthree => 73  - 26700
nine5knlzninerspkdklnthree => 93  - 26793
dhjmgthfiveeight79threefive => 55  - 26848
87bn => 87  - 26935
4eightkbppvkx9sevenzqcfrqlbxmk45 => 45  - 26980
fourthreekvtvdrlgjrk2four7c => 47  - 27027
six6dlmmmvfkseventwoonesix => 66  - 27093
47rsjqzcqsnffourqdggnkpgsqjgprhrx2 => 42  - 27135
ptbtpthmkeightxtzjftbff6dqzdq7 => 87  - 27222
48sixcfngcjngjs3bszknmgzjthree => 43  - 27265
nmcdlgrrdrmrrbpfn1 => 11  - 27276
5q6crrhphbmqr8zdddmnseven8 => 58  - 27334
fxlkdnq6 => 66  - 27400
threeffvsrjdbtfk6trsgmkn => 36  - 27436
one3fourtwofcqsgcvvg => 12  - 27448
eight8onexvdtthree1pzfrllrjrtktzvnrp => 81  - 27529
hlnine3 => 93  - 27622
54three3zxbdtjrlzone => 51  - 27673
5qjnpjvnzpfive2two71rphp => 51  - 27724
njseven6four => 74  - 27798
bgpkmfcbl72 => 72  - 27870
9vmjgvhvfvd1 => 91  - 27961
ttbmt46two => 42  - 28003
mksvjgxsbdnlg8eighttwofourthreesfn => 83  - 28086
mtjm6twoseven46 => 66  - 28152
fivefourcktdqsdlvpdq1eightwolc => 52  - 28204
45twoneqs => 41  - 28245
sevenplrfqrhfivejqzrnv3 => 73  - 28318
9nine4threetwolk6sevenk => 97  - 28415
5qxpfourfqtg => 54  - 28469
34cpbblldjfqpltcntpzninetwo => 32  - 28501
7eightfivehczsxqhglmtpsxk8hkksbzr => 78  - 28579
69two9 => 69  - 28648
6seven33pggfive1 => 61  - 28709
sevenhkhrj2 => 72  - 28781
4phnnpxthjn8 => 48  - 28829
4vnnfqdssrfive8seven8ninedfhl => 49  - 28878
frhf15three4vvlgthree => 13  - 28891
4nine3 => 43  - 28934
57hlrhqmxxxbl => 57  - 28991
eightjhblpnjk786fivekrq => 85  - 29076
rj9twofour => 94  - 29170
lmszmtrhpthreezbdghgfour7sixtwofive => 35  - 29205
ninesixrlxxsskgjpqfdpzbthree5 => 95  - 29300
qbddmnpgskf1tpfive34 => 14  - 29314
fxmninejzl319twoeight4 => 94  - 29408
two7ckzsmvqfcbfourthree25 => 25  - 29433
xzhqltqmdfourqshqmlxpninecbrsclzftwotwo7three => 43  - 29476
one3zdppmxfroneighthb => 18  - 29494
eightsix8tmh7fivesixgbdttd3 => 83  - 29577
pnhkxlcsh35 => 35  - 29612
four45 => 45  - 29657
9sevenfivehxr4eightfour8 => 98  - 29755
rmvmqbclzr5bmsxdzxgptlhczgsh42eight => 58  - 29813
bpbbvbjrptfourqpkdfqkjcrrpone1b3 => 43  - 29856
2six6 => 26  - 29882
ninesixthreexshfvpb5 => 95  - 29977
3xhljmkxlr1clcqkmbdrmtxptgl => 31  - 30008
gfkhdhgv27ktc7foursevenseven2 => 22  - 30030
eight1eight4 => 84  - 30114
nine4vzdqjs8three9 => 99  - 30213
2lhmbfzonetwo9 => 29  - 30242
nlhkm83cslc5three9sevennine => 89  - 30331
thhllmnnpxsbtjvnrnhq8rbvhzfrxzqqqhccqlzfggseven => 87  - 30418
four6six8kqmjzk8 => 48  - 30466
gcrqzmbsh7seven6 => 76  - 30542
8five575four9six => 86  - 30628
four615 => 45  - 30673
41xzlprtjncrlzbcgvbmclsqrnbdone6 => 46  - 30719
sdphx53c => 53  - 30772
threefblfr1seven3 => 33  - 30805
xqh1one => 11  - 30816
qztslzlkheightsixkrpfourtwonine7one => 81  - 30897
nhqdsngrf8seven7dkbkfbdgdcjvnmdbzx9 => 89  - 30986
7qrmrsnhvfive4klcrkkbtwo => 72  - 31058
qpltxmjl3twosixrnvmlqvgrgmgninetwo => 32  - 31090
43lbsbgjkng1one => 41  - 31131
lzjqmlxnk452zrglhpbpvtwo => 42  - 31173
fourlmcprk36mthree => 43  - 31216
cssthvvxrgpks48glbxk => 48  - 31264
